CountryName,CountryCode,SeriesName,SeriesCode,[2021_YR2021],[2022_YR2022],[2022_[YR2023]
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4858.052015,5154.827498,5419.637791
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,577940.4045,613246.437,644749.7161
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,663903.0858,773931.4242,863048.0988
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,6413.283286,6846.426143,8575.171134
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.984307568,6.108939995,5.137132015
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16113.13652,17097.47836,17975.79839
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16113.13652,19429.92132,21208.21003
Albania,ALB,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,37416.74666,38040.9615,39887.61164
Albania,ALB,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..
Albania,ALB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,45304758103,47491477568,49361039069
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,45304758103,53970278712,58237150900
Albania,ALB,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,1.86667E+12,2.14974E+12,2.36991E+12
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.444398809,9.861574155,6.066049475
Albania,ALB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.444398809,9.861574155,6.066049475
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.041471631,6.725202715,4.759764219
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,75.59031609,84.69806392,82.4936846
Albania,ALB,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,33.90217443,39.60756482,44.98143858
Albania,ALB,"Trademark applications, nonresident, by count",IP.TMK.NRCT,7596,..,..
Albania,ALB,"Trademark applications, resident, by count",IP.TMK.RSCT,1823,..,..
Albania,ALB,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,1.361102644,..,..
Albania,ALB,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,-25786881625,11413121876,35757056346
Albania,ALB,Taxes on international trade (current LCU),GC.TAX.INTT.CN,7494730000,..,..
Albania,ALB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1168644883,-1249848500,-1358205661
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,6.757906713,7.579342194,6.883977454
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1218586452,1441381891,1620982551
Albania,ALB,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.276960629,1.007042231,1.115958408
Albania,ALB,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,49941569.83,191511664.1,262776733.1
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.022559881,2.744329929,..
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.833778381,..,..
Albania,ALB,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,..,..,..
